TAG,FR,EN,DE,IT,ES,TR
"Hyperplan","Hyperplan","Hyperplan","Hyperplan","Hyperplan","Hyperplan","Hyperplan"
"Close","Fermer","Close","Schließen","Chiudere","Cerrar","Kapat"
"Cartography","Cartographie","Cartography","Feldkarte","Mappa del campo","Cartografía","Kartografi"
"Crop Rotation","Rotation cultures","Crop Rotation","Fruchtfolge","Rotazione delle colture","Recortar rotación","Ürün Rotasyonu"
"Hyperplan map type","Carte Hyperplan","Hyperplan map type","Hyperplan-Kartentyp","Tipo di mappa Hyperplan","Tipo de mapa Hyperplan","Hyperplan harita türü"
"Satellite map type","Carte satellite","Satellite map type","Typ der Satellitenkarte","Tipo di mappa satellitare","Tipo de mapa satélite","Uydu harita türü"
"Geolocate me","Me géolocaliser","Geolocate me","Geolokalisiere mich","Geolocalizzami","Geolocalízame","Beni coğrafi olarak konumlandır"
"Find address","Rechercher une adresse","Find address","Adresse finden","Trova indirizzo","Encontrar dirección","Adres bul"
"Download PNG","Télécharger PNG","Download PNG","PNG herunterladen","Scarica PNG","Descargar PNG","PNG indir"
"You can also search for coordinates (ex: 48.86;2.33) or field id (ex: [250000051000079532])","Vous pouvez également rechercher des coordonnées (ex: 48.86;2.33) ou un identifiant de parcelle (ex: [120])","You can also search for coordinates (ex: 48.86;2.33) or field id (ex: [250000051000079532])","Sie können auch nach Koordinaten (z.B.: 48.86;2.33) oder einer Parzellenkennung (z.B.: [120]) suchen.","È anche possibile cercare le coordinate (ad esempio, 48.86;2.33) o un identificatore di parcella (ad esempio, [120]).","También puedes buscar por coordenadas (ej: 48.86;2.33) o id de parcela (ej: [120])","Ayrıca koordinatlar (örn: 48.86;2.33) veya parsel kimliği (örn: [120]) için de arama yapabilirsiniz"
"Add a background layer","Ajouter un calque en arrière plan","Add a background layer","Eine Ebene im Hintergrund hinzufügen","Aggiunta di un livello di sfondo","Añadir una capa de fondo","Arka plan katmanı ekle"
"silos","les silos","silos","die Silos","silos","silos","silolar"
"farms","exploitations","farms","die Betriebe","fattorie","explotaciones","çiftlikler"
"Hide","Masquer","Hide","Ausblenden","Nascondi","Ocultar","Gizle"
"Display","Afficher","Display","Anzeige","Display","Mostrar","Göster"
"H","R","H","E","R","C","K"
"Updated every first Thursday of each month.","Mis à jour chaque premier jeudi du mois.","Updated every first Thursday of each month.","Jeden ersten Donnerstag im Monat aktualisiert.","Aggiornato ogni primo giovedì del mese.","Actualización cada primer jueves de cada mes.","Her ayın ilk Perşembe günü güncellenir."
"Download CSV","Télécharger CSV","Download CSV","CSV herunterladen","Scarica CSV","Descargar CSV","CSV'yi indirin"
"Hectares","hectares","Hectares","Hektar","ettari","hectáreas","Hektar"
"Yield","Rendement","Yield","Ernte","Rendimento","Rendimiento","Verim"
"Volume","Volume","Volume","Volumen","Volume","Volumen","Hacim"
"Total","Total","Total","Gesamt","Totale","Total","Toplam"
"Show more","Voir plus","Show more","Mehr anzeigen","Mostra di più","Ver más","Daha fazlasını göster"
"Updated every Tuesday.","Mis à jour tous les mardis.","Updated every Tuesday.","Jeden Dienstag aktualisiert.","Aggiornato ogni martedì.","Actualizado cada martes.","Her Salı güncellenir."
"Collect forecast","Prévisionnel de collecte","Collect forecast","Prognose sammeln","Previsione di incasso","Recoger previsión","Tahmin topla"
