TAG,FR,EN,DE,IT,ES
Hyperplan,Hyperplan,Hyperplan,Hyperplan,Hyperplan,Hyperplan
Bienvenue sur,Bienvenue sur,Welcome to,Willkommen bei,Benvenuti a,Bienvenido a Hyperplan
Veuillez saisir vos identifiants,Veuillez saisir vos identifiants,Please enter your credentials,Bitte geben Sie Ihre Anmeldedaten ein,Inserire le proprie credenziali,"Por favor, introduce tus credenciales"
Une question ? Envoyez nous un mail à,Une question ? Envoyez nous un mail à,A question ? Send us an email at,Eine Frage? Schicken Sie uns eine E-Mail an,Una domanda? Inviateci un'e-mail a,¿ Alguna pregunta? Envíenos un correo electrónico a
Nom d'utilisateur (Prénom NOM),Nom d'utilisateur (Prénom NOM),Username (Firstname LASTNAME),Benutzername (Vorname NACHNAME),Nome utente (Nome COGNOME),Nombre de usuario (Nombre APELLIDO)
Nom d'utilisateur,Nom d'utilisateur,Username,Benutzername,Nome utente,Nombre de usuario
Mot de passe,Mot de passe,Password,Kennwort,Password,Contraseña
Se connecter,Se connecter,Log in,Anmelden,Log in,Conectarse
Se déconnecter,Se déconnecter,Log out,Abmelden,Log out,Cerrar sesión
Annuler,Annuler,Cancel,Abbrechen,Annulla,Cancelar
Sauvegarder,Sauvegarder,Save,Speichern,Salva,Guardar
Fermer,Fermer,Close,Schließen,Chiudere,Cerrar
Colza,Colza,Rapeseed,Raps,Colza,Colza
Maïs,Maïs,Maize,Mais,Mais,Maíz
Tournesol,Tournesol,Sunflower,Sonnenblume,Girasole,Girasol
Pois,Pois,Peas,Erbsen,Piselli,Guisantes
Betterave,Betterave,Beet,Rübe,Barbabietola,Remolacha
Luzerne,Luzerne,Alfalfa,Alfalfa,Alfalfa,Alfalfa
Vigne,Vignes,Vineyards,Weinberge,Vigneti,Viñedos
Triticale,Triticale,Triticale,Triticale,Triticale,Triticale
Autres légumes,Autres légumes,Other vegetables,Sonstiges Gemüse,Altre verdure,Otras hortalizas
Autres céréales,Autres céréales,Other cereals,Andere Getreidearten,Altri cereali,Otros cereales
Pomme de terre,Pomme de terre,Potato,Kartoffel,Patata,Patata
Soja,Soja,Soy,Soja,Soia,Soja
Haricots / flageolets,Haricots,Beans,Bohnen,Fagioli,Judías
Chanvre,Chanvre,Hemp,Hanf,Canapa,Cáñamo
Seigle,Seigle,Rye,Roggen,Segale,Centeno
Lin,Lin,Linen,Leinen,Lino,Lino
Orge d'hiver,Orge d'hiver,Winter barley,Wintergerste,Orzo  invernale,Cebada de invierno
Orge de printemps,Orge de printemps,Spring barley,Sommergerste,Orzo  primaverile,Cebada de primavera
Blé d'hiver,Blé d'hiver,Winter wheat,Winterweizen,Grano invernale,Trigo de invierno
